timestamp,question,matched_doc,drift_type,action_taken,status
2026-07-18T09:46:33.452240,How many days of paid annual leave do I get?,leave_policy.txt,CONTENT_DRIFT,AUTO-FIXED: re-embedded leave_policy.txt (new hash a1fee0db8bd9...),AUTO_RESOLVED
2026-07-18T09:46:33.452240,Can I carry forward unused leave into next year?,leave_policy.txt,CONTENT_DRIFT,AUTO-FIXED: leave_policy.txt already re-embedded this run,AUTO_RESOLVED
2026-07-18T09:46:33.452240,How much paid sick leave am I entitled to?,leave_policy.txt,CONTENT_DRIFT,AUTO-FIXED: leave_policy.txt already re-embedded this run,AUTO_RESOLVED
2026-07-18T09:46:33.452240,Does the company cover dental benefits?,benefits_enrollment.txt,QUERY_DRIFT,SUGGESTED: add a document to cover this topic. Logged to content_gap_report.csv.,PENDING_HUMAN_INPUT
2026-07-18T10:01:52.537188,How many days of paid annual leave do I get?,leave_policy.txt,CONTENT_DRIFT,AUTO-FIXED: re-embedded leave_policy.txt (new hash a1fee0db8bd9...),AUTO_RESOLVED
2026-07-18T10:01:52.537188,Can I carry forward unused leave into next year?,leave_policy.txt,CONTENT_DRIFT,AUTO-FIXED: leave_policy.txt already re-embedded this run,AUTO_RESOLVED
2026-07-18T10:01:52.537188,How much paid sick leave am I entitled to?,leave_policy.txt,CONTENT_DRIFT,AUTO-FIXED: leave_policy.txt already re-embedded this run,AUTO_RESOLVED
2026-07-18T10:01:52.537188,Does the company cover dental benefits?,benefits_enrollment.txt,QUERY_DRIFT,SUGGESTED: add a document to cover this topic. Logged to content_gap_report.csv.,PENDING_HUMAN_INPUT
2026-07-18T10:40:38.122534,How many days of paid annual leave do I get?,leave_policy.txt,EMBEDDING_DRIFT,SUGGESTED: rollback embedding model to previous version. Human approval required before applying.,PENDING_HUMAN_APPROVAL
2026-07-18T10:40:38.122534,Can I carry forward unused leave into next year?,leave_policy.txt,EMBEDDING_DRIFT,SUGGESTED: rollback embedding model to previous version. Human approval required before applying.,PENDING_HUMAN_APPROVAL
2026-07-18T10:40:38.122534,How much paid sick leave am I entitled to?,leave_policy.txt,EMBEDDING_DRIFT,SUGGESTED: rollback embedding model to previous version. Human approval required before applying.,PENDING_HUMAN_APPROVAL
2026-07-18T10:40:38.122534,What are the password requirements?,password_reset.txt,EMBEDDING_DRIFT,SUGGESTED: rollback embedding model to previous version. Human approval required before applying.,PENDING_HUMAN_APPROVAL
2026-07-18T10:40:38.122534,What happens if I fail to log in 5 times?,password_reset.txt,EMBEDDING_DRIFT,SUGGESTED: rollback embedding model to previous version. Human approval required before applying.,PENDING_HUMAN_APPROVAL
2026-07-18T10:40:38.122534,How do I claim reimbursement for a business trip?,expense_reimbursement.txt,EMBEDDING_DRIFT,SUGGESTED: rollback embedding model to previous version. Human approval required before applying.,PENDING_HUMAN_APPROVAL
2026-07-18T10:40:38.122534,Is alcohol reimbursable during business travel?,expense_reimbursement.txt,EMBEDDING_DRIFT,SUGGESTED: rollback embedding model to previous version. Human approval required before applying.,PENDING_HUMAN_APPROVAL
2026-07-18T10:40:38.122534,How long does it take to get my expense claim processed?,expense_reimbursement.txt,EMBEDDING_DRIFT,SUGGESTED: rollback embedding model to previous version. Human approval required before applying.,PENDING_HUMAN_APPROVAL
2026-07-18T10:40:38.122534,How many days per week can I work remotely?,remote_work_policy.txt,EMBEDDING_DRIFT,SUGGESTED: rollback embedding model to previous version. Human approval required before applying.,PENDING_HUMAN_APPROVAL
2026-07-18T10:40:38.122534,Do I need to inform HR if I work remotely from another city?,remote_work_policy.txt,EMBEDDING_DRIFT,SUGGESTED: rollback embedding model to previous version. Human approval required before applying.,PENDING_HUMAN_APPROVAL
2026-07-18T10:40:38.122534,Does the company provide equipment for remote work?,remote_work_policy.txt,EMBEDDING_DRIFT,SUGGESTED: rollback embedding model to previous version. Human approval required before applying.,PENDING_HUMAN_APPROVAL
2026-07-18T10:40:38.122534,When is the open enrollment period for benefits?,benefits_enrollment.txt,EMBEDDING_DRIFT,SUGGESTED: rollback embedding model to previous version. Human approval required before applying.,PENDING_HUMAN_APPROVAL
2026-07-18T10:40:38.122534,Can I add my spouse to my health insurance plan?,benefits_enrollment.txt,EMBEDDING_DRIFT,SUGGESTED: rollback embedding model to previous version. Human approval required before applying.,PENDING_HUMAN_APPROVAL
2026-07-18T10:40:38.122534,Does the company cover dental benefits?,benefits_enrollment.txt,EMBEDDING_DRIFT,SUGGESTED: rollback embedding model to previous version. Human approval required before applying.,PENDING_HUMAN_APPROVAL
